Ticker;BTC-USD
23.11.2020;18364.12109
24.11.2020;19107.46484
25.11.2020;18732.12109
26.11.2020;17150.62305
27.11.2020;17108.40234
28.11.2020;17717.41406
29.11.2020;18177.48438
30.11.2020;19625.83594
1.12.2020;18802.99805
2.12.2020;19201.0918
3.12.2020;19445.39844
4.12.2020;18699.76563
5.12.2020;19154.23047
6.12.2020;19345.12109
7.12.2020;19191.63086
8.12.2020;18321.14453
9.12.2020;18553.91602
10.12.2020;18264.99219
11.12.2020;18058.9043
12.12.2020;18803.65625
13.12.2020;19142.38281
14.12.2020;19246.64453
15.12.2020;19417.07617
16.12.2020;21310.59766
17.12.2020;22805.16211
18.12.2020;23137.96094
19.12.2020;23869.83203
20.12.2020;23477.29492
21.12.2020;22803.08203
22.12.2020;23783.0293
23.12.2020;23241.3457
24.12.2020;23735.94922
25.12.2020;24664.79102
26.12.2020;26437.03711
27.12.2020;26272.29492
28.12.2020;27084.80859
29.12.2020;27362.4375
30.12.2020;28840.95313
31.12.2020;29001.7207
1.01.2021;29374.15234
2.01.2021;32127.26758
3.01.2021;32782.02344
4.01.2021;31971.91406
5.01.2021;33992.42969
6.01.2021;36824.36328
7.01.2021;39371.04297
8.01.2021;40797.60938
9.01.2021;40254.54688
10.01.2021;38356.44141
11.01.2021;35566.65625
12.01.2021;33922.96094
13.01.2021;37316.35938
14.01.2021;39187.32813
15.01.2021;36825.36719
16.01.2021;36178.14063
17.01.2021;35791.27734
18.01.2021;36630.07422
19.01.2021;36069.80469
20.01.2021;35547.75
21.01.2021;30825.69922
22.01.2021;33005.76172
23.01.2021;32067.64258
24.01.2021;32289.37891
25.01.2021;32366.39258
26.01.2021;32569.84961
27.01.2021;30432.54688
28.01.2021;33466.09766
29.01.2021;34316.38672
30.01.2021;34269.52344
31.01.2021;33114.35938
1.02.2021;33537.17578
2.02.2021;35510.28906
3.02.2021;37472.08984
4.02.2021;36926.06641
5.02.2021;38144.30859
6.02.2021;39266.01172
7.02.2021;38903.44141
8.02.2021;46196.46484
9.02.2021;46481.10547
10.02.2021;44918.18359
11.02.2021;47909.33203
12.02.2021;47504.85156
13.02.2021;47105.51563
14.02.2021;48717.28906
15.02.2021;47945.05859
16.02.2021;49199.87109
17.02.2021;52149.00781
18.02.2021;51679.79688
19.02.2021;55888.13281
20.02.2021;56099.51953
21.02.2021;57539.94531
22.02.2021;54207.32031
23.02.2021;48824.42578
24.02.2021;49705.33203
25.02.2021;47093.85156
26.02.2021;46339.76172
27.02.2021;46188.45313
28.02.2021;45137.76953
1.03.2021;49631.24219
2.03.2021;48378.98828
3.03.2021;50538.24219
4.03.2021;48561.16797
5.03.2021;48927.30469
6.03.2021;48912.38281
7.03.2021;51206.69141
8.03.2021;52246.52344
9.03.2021;54824.11719
10.03.2021;56008.55078
11.03.2021;57805.12109
12.03.2021;57332.08984
13.03.2021;61243.08594
14.03.2021;59302.31641
15.03.2021;55907.19922
16.03.2021;56804.90234
17.03.2021;58870.89453
18.03.2021;57858.92188
19.03.2021;58346.65234
20.03.2021;58313.64453
21.03.2021;57523.42188
22.03.2021;54529.14453
23.03.2021;54738.94531
24.03.2021;52774.26563
25.03.2021;51704.16016
26.03.2021;55137.3125
27.03.2021;55973.51172
28.03.2021;55950.74609
29.03.2021;57750.19922
30.03.2021;58917.69141
31.03.2021;58918.83203
1.04.2021;59095.80859
2.04.2021;59384.3125
3.04.2021;57603.89063
4.04.2021;58758.55469
5.04.2021;59057.87891
6.04.2021;58192.35938
7.04.2021;56048.9375
8.04.2021;58323.95313
9.04.2021;58245.00391
10.04.2021;59793.23438
11.04.2021;60204.96484
12.04.2021;59893.45313
13.04.2021;63503.45703
14.04.2021;63109.69531
15.04.2021;63314.01172
16.04.2021;61572.78906
17.04.2021;60683.82031
18.04.2021;56216.18359
19.04.2021;55724.26563
20.04.2021;56473.03125
21.04.2021;53906.08984
22.04.2021;51762.27344
23.04.2021;51093.65234
24.04.2021;50050.86719
25.04.2021;49004.25391
26.04.2021;54021.75391
27.04.2021;55033.11719
28.04.2021;54824.70313
29.04.2021;53555.10938
30.04.2021;57750.17578
1.05.2021;57828.05078
2.05.2021;56631.07813
3.05.2021;57200.29297
4.05.2021;53333.53906
5.05.2021;57424.00781
6.05.2021;56396.51563
7.05.2021;57356.40234
8.05.2021;58803.77734
9.05.2021;58232.31641
10.05.2021;55859.79688
11.05.2021;56704.57422
12.05.2021;49150.53516
13.05.2021;49716.19141
14.05.2021;49880.53516
15.05.2021;46760.1875
16.05.2021;46456.05859
17.05.2021;43537.51172
18.05.2021;42909.40234
19.05.2021;37002.44141
20.05.2021;40782.73828
21.05.2021;37304.69141
22.05.2021;37536.63281
23.05.2021;34770.58203
24.05.2021;38705.98047
25.05.2021;38402.22266
26.05.2021;39294.19922
27.05.2021;38436.96875
28.05.2021;35697.60547
29.05.2021;34616.06641
30.05.2021;35678.12891
31.05.2021;37332.85547
1.06.2021;36684.92578
2.06.2021;37575.17969
3.06.2021;39208.76563
4.06.2021;36894.40625
5.06.2021;35551.95703
6.06.2021;35862.37891
7.06.2021;33560.70703
8.06.2021;33472.63281
9.06.2021;37345.12109
10.06.2021;36702.59766
11.06.2021;37334.39844
12.06.2021;35552.51563
13.06.2021;39097.85938
14.06.2021;40218.47656
15.06.2021;40406.26953
16.06.2021;38347.0625
17.06.2021;38053.50391
18.06.2021;35787.24609
19.06.2021;35615.87109
20.06.2021;35698.29688
21.06.2021;31676.69336
22.06.2021;32505.66016
23.06.2021;33723.02734
24.06.2021;34662.4375
25.06.2021;31637.7793
26.06.2021;32186.27734
27.06.2021;34649.64453
28.06.2021;34434.33594
29.06.2021;35867.77734
30.06.2021;35040.83594
1.07.2021;33572.11719
2.07.2021;33897.04688
3.07.2021;34668.54688
4.07.2021;35287.78125
5.07.2021;33746.00391
6.07.2021;34235.19531
7.07.2021;33855.32813
8.07.2021;32877.37109
9.07.2021;33798.01172
10.07.2021;33520.51953
11.07.2021;34240.1875
12.07.2021;33155.84766
13.07.2021;32702.02539
14.07.2021;32822.34766
15.07.2021;31780.73047
16.07.2021;31421.53906
17.07.2021;31533.06836
18.07.2021;31796.81055
19.07.2021;30817.83203
20.07.2021;29807.34766
21.07.2021;32110.69336
22.07.2021;32313.10547
23.07.2021;33581.55078
24.07.2021;34292.44531
25.07.2021;35350.1875
26.07.2021;37337.53516
27.07.2021;39406.94141
28.07.2021;39995.90625
29.07.2021;40008.42188
30.07.2021;42235.54688
31.07.2021;41626.19531
1.08.2021;39974.89453
2.08.2021;39201.94531
3.08.2021;38152.98047
4.08.2021;39747.50391
5.08.2021;40869.55469
6.08.2021;42816.5
7.08.2021;44555.80078
8.08.2021;43798.11719
